Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
69,Josh Jung,28,TEX,AL,1.4,75,321,291,36,86,17,0,8,31,1,1,24,54,0.296,0.355,0.436,0.792,131,0.352,134,127,13,4,0,2,0,*5,,jungjo01
70,Jackson Merrill,23,SDP,NL,0.8,76,321,293,34,62,15,1,8,31,15,1,24,79,0.212,0.274,0.352,0.625,74,0.283,66,103,4,1,3,0,2,*8,,merrija01
71,Austin Riley,29,ATL,NL,0.5,79,321,285,32,61,12,1,8,36,4,1,28,93,0.214,0.296,0.347,0.643,82,0.295,83,99,6,6,0,2,0,*5/H,,rileyau01
72,Salvador Perez,36,KCR,AL,-1,76,320,298,29,60,9,0,10,30,0,0,12,61,0.201,0.244,0.332,0.576,61,0.26,59,99,9,6,0,4,1,2D/3,,perezsa02
73,Isaac Paredes,27,HOU,AL,1.3,76,318,273,31,67,15,0,10,41,0,0,31,53,0.245,0.343,0.41,0.753,110,0.342,114,112,8,11,0,3,0,*53/D4H,,paredis01
74,Marcus Semien,35,NYM,NL,-0.6,80,318,290,30,62,8,1,9,29,6,2,23,68,0.214,0.271,0.341,0.613,71,0.28,70,99,10,1,1,3,0,*4,,semiema01
75,Kyle Tucker,29,LAD,NL,0.7,75,318,273,44,64,16,2,6,40,6,0,40,65,0.234,0.333,0.374,0.707,98,0.324,99,102,0,2,0,3,0,*9/H,,tuckeky01
76,Carson Benge,23,NYM,NL,1.3,78,316,289,43,74,10,2,9,30,11,2,23,69,0.256,0.32,0.398,0.718,100,0.334,106,115,2,4,0,0,0,*978/HD,,bengeca01
77,Colson Montgomery,24,CHW,AL,2,76,316,278,36,61,14,0,20,46,1,1,29,99,0.219,0.313,0.486,0.799,120,0.342,116,135,4,9,0,0,3,*65/HD,,montgco01
78,Byron Buxton,32,MIN,AL,3,70,315,289,54,78,14,1,25,41,7,0,22,80,0.27,0.327,0.585,0.912,146,0.392,143,169,2,3,0,1,1,8D,,buxtoby01
79,Jake Burger,30,TEX,AL,1.8,78,314,286,36,73,14,0,14,48,1,0,24,82,0.255,0.315,0.451,0.766,122,0.336,121,129,5,2,0,2,0,*3/HD,,burgeja01
80,Hunter Goodman,26,COL,NL,1.8,75,314,284,48,68,12,0,21,39,5,2,25,104,0.239,0.309,0.504,0.812,112,0.355,112,143,3,4,0,1,2,2D/H,,goodmhu01
81,José Ramírez,33,CLE,AL,2.5,72,314,268,42,64,18,0,10,33,24,2,41,44,0.239,0.339,0.418,0.757,112,0.351,112,112,1,1,0,3,5,*5D,,ramirjo01
82,T.J. Rumfield,26,COL,NL,1.9,78,314,278,35,79,15,2,12,43,0,0,28,47,0.284,0.36,0.482,0.842,122,0.369,123,134,2,6,0,2,0,*3D/H,,rumfitj01
83,Randy Arozarena,31,SEA,AL,2.5,74,313,271,47,77,18,1,7,33,19,4,29,71,0.284,0.371,0.435,0.806,131,0.373,136,118,7,10,0,3,0,*7/D,,arozara01
84,Josh Bell,33,MIN,AL,0.1,79,313,286,40,70,15,0,9,49,1,0,23,71,0.245,0.304,0.392,0.695,91,0.312,90,112,5,2,0,2,0,*D3/H,,belljo02
85,Jazz Chisholm,28,NYY,AL,1,77,313,276,42,63,10,2,12,33,24,4,34,87,0.228,0.313,0.409,0.723,100,0.332,98,113,2,1,0,2,0,*4/HD,,chishja01
86,Ernie Clement,30,TOR,AL,1,78,311,299,36,88,20,1,7,28,2,1,10,32,0.294,0.315,0.438,0.753,103,0.331,101,131,5,0,0,2,0,*46/5H,,clemeer01
87,Spencer Torkelson,26,DET,AL,-0.4,80,310,268,30,56,17,0,12,31,0,1,35,101,0.209,0.307,0.407,0.714,96,0.314,94,109,6,4,0,2,0,*3/H,,torkesp01
88,Alec Bohm,29,PHI,NL,-0.3,77,309,282,24,63,10,0,9,42,1,0,20,44,0.223,0.278,0.355,0.633,71,0.298,76,100,9,3,0,4,0,*5/3H,,bohmal01
89,Dillon Dingler,27,DET,AL,2.9,74,309,276,42,74,15,2,19,57,0,0,23,65,0.268,0.336,0.543,0.879,139,0.385,142,150,8,6,0,2,0,*2D/H,,dingldi01
90,Brooks Lee,25,MIN,AL,0.5,78,309,283,38,68,11,2,13,45,4,2,22,48,0.24,0.299,0.431,0.73,99,0.332,105,122,4,2,1,1,0,65/H,,leebr02
91,Cam Smith,23,HOU,AL,1.1,81,307,271,31,60,12,1,8,28,9,1,28,79,0.221,0.301,0.362,0.662,84,0.302,82,98,6,4,0,3,0,*9/H,,smithca07
92,Nick Gonzales,27,PIT,NL,0.9,75,305,283,42,84,11,1,3,35,4,2,16,55,0.297,0.344,0.375,0.719,99,0.325,99,106,9,5,0,1,0,*54/6H,,gonzani01
93,Casey Schmitt,27,SFG,NL,1.4,72,305,289,35,85,15,1,16,42,7,1,7,60,0.294,0.321,0.519,0.84,136,0.363,133,150,5,6,0,3,0,7D3/465,,schmica01
94,Chandler Simpson,25,TBR,AL,0.6,76,303,280,33,74,6,4,0,16,19,8,17,31,0.264,0.304,0.314,0.619,72,0.287,72,88,2,0,4,2,0,*7/H8,,simpsch01
95,Mauricio Dubon,31,ATL,NL,1.8,75,302,280,32,74,15,2,8,43,1,2,19,44,0.264,0.316,0.418,0.733,106,0.325,107,117,4,2,0,0,0,678/5HD,,dubonma01
96,Luke Keaschall,23,MIN,AL,0.2,76,302,265,38,66,12,1,2,24,11,3,29,47,0.249,0.331,0.325,0.656,83,0.306,84,86,4,5,0,3,1,*4/H9,,keasclu01
97,Spencer Steer,28,CIN,NL,0,76,301,267,45,64,13,0,13,33,3,0,29,68,0.24,0.319,0.434,0.753,105,0.333,102,116,8,3,0,2,0,3794/H5D,,steersp01
98,Xander Bogaerts,33,SDP,NL,1.2,75,299,261,32,60,4,0,8,30,10,1,33,55,0.23,0.321,0.337,0.658,85,0.319,94,88,2,3,0,2,0,*6,,bogaexa01
99,Steven Kwan,28,CLE,AL,0.8,73,299,251,32,53,9,0,1,13,3,1,39,32,0.211,0.322,0.259,0.581,67,0.279,70,65,6,3,3,2,1,*87/H,,kwanst01
100,Ceddanne Rafaela,25,BOS,AL,3.7,75,299,277,33,79,18,3,7,35,10,6,15,61,0.285,0.336,0.448,0.783,120,0.348,124,124,8,6,1,0,0,*8/H,,rafaece01
101,Dansby Swanson,32,CHC,NL,2.3,77,299,256,48,51,9,2,11,46,10,0,37,71,0.199,0.299,0.379,0.678,93,0.325,103,97,2,1,1,4,0,*6/DH,,swansda01
102,Brandon Marsh,28,PHI,NL,2.1,76,297,278,46,90,14,2,12,41,8,3,14,74,0.324,0.357,0.518,0.875,135,0.379,135,144,2,2,0,3,1,*789/H,,marshbr02
103,Masyn Winn,24,STL,NL,1.2,70,297,261,32,64,11,2,3,31,6,2,25,58,0.245,0.32,0.337,0.657,87,0.306,92,88,7,6,0,5,0,*6,,winnma01
104,Brayan Rocchio,25,CLE,AL,2.2,78,296,260,31,70,12,2,5,33,12,4,24,40,0.269,0.344,0.388,0.732,106,0.338,111,101,4,7,2,3,0,*64,,rocchbr01
105,Spencer Horwitz,28,PIT,NL,1.2,74,295,246,36,69,11,1,10,33,1,0,40,40,0.28,0.386,0.455,0.842,131,0.374,133,112,10,5,0,4,0,*3/HD,,horwisp01
106,Maikel Garcia,26,KCR,AL,1.7,69,294,268,32,70,17,2,3,30,5,3,24,45,0.261,0.32,0.373,0.693,96,0.305,92,100,6,0,0,2,0,*5/6HD,,garcima01
107,Jung Hoo Lee,27,SFG,NL,1.5,72,293,274,41,91,19,3,5,30,5,0,13,27,0.332,0.365,0.478,0.843,140,0.372,139,131,3,3,0,3,0,*98/H,,leeju01
108,Vinnie Pasquantino,28,KCR,AL,0.3,68,291,254,28,57,10,2,6,32,3,0,32,51,0.224,0.309,0.35,0.66,87,0.303,87,89,3,1,0,4,2,*3/H,,pasquvi01
109,Jac Caglianone,23,KCR,AL,2.1,76,289,261,39,70,12,1,14,30,3,1,24,87,0.268,0.339,0.483,0.822,130,0.365,132,126,3,4,0,0,0,*93/DH,,caglija01
110,Nolan Arenado,35,ARI,NL,1.1,75,288,256,34,61,14,0,8,33,3,0,23,58,0.238,0.313,0.387,0.699,93,0.32,96,99,6,6,0,3,1,*5/DH,,arenano01
111,Liam Hicks,27,MIA,NL,2.1,73,288,248,40,69,7,1,13,53,1,0,29,28,0.278,0.359,0.472,0.831,134,0.364,133,117,2,5,1,5,1,2D3H,,hicksli01
112,Matt McLain,26,CIN,NL,0.2,75,288,250,31,50,13,0,8,25,11,2,34,75,0.2,0.303,0.348,0.651,79,0.299,76,87,3,3,1,0,0,*46/H,,mclaima01
113,Carter Jensen,22,KCR,AL,0.9,75,287,254,39,62,16,0,11,42,1,0,27,76,0.244,0.314,0.437,0.751,110,0.329,107,111,3,1,0,5,1,2D/H,,jenseca01
114,Bryson Stott,28,PHI,NL,0.3,75,286,261,30,62,15,3,7,40,15,0,20,49,0.238,0.296,0.398,0.694,87,0.319,83,104,7,2,2,1,0,*4/H,,stottbr01
115,Ezequiel Tovar,24,COL,NL,-0.5,75,284,264,24,55,14,0,6,25,4,0,15,81,0.208,0.254,0.33,0.583,54,0.269,49,87,5,2,0,3,0,*6/H,,tovarez01
116,Oneil Cruz,27,PIT,NL,1.2,64,283,250,45,66,10,0,14,44,21,4,30,98,0.264,0.35,0.472,0.822,124,0.377,129,118,3,3,0,0,2,*8/DH,,cruzon01
117,Max Muncy (LAD),35,LAD,NL,3.2,75,282,244,47,65,11,0,16,34,1,0,35,68,0.266,0.365,0.508,0.873,142,0.376,139,124,4,3,0,0,1,*5/H,,muncyma01
118,Michael Harris,25,ATL,NL,2.5,73,279,265,37,81,13,0,14,42,4,1,12,57,0.306,0.337,0.513,0.85,136,0.369,136,136,2,1,0,1,0,*8/HD7,,harrimi04
119,Jake Bauers,30,MIL,NL,1.5,69,276,236,45,64,12,1,14,48,5,1,37,69,0.271,0.377,0.508,0.885,143,0.388,144,120,3,3,0,0,3,*37/9HD,,bauerja01
120,Seiya Suzuki,31,CHC,NL,2.3,65,275,240,36,62,10,0,10,31,0,0,31,74,0.258,0.349,0.425,0.774,121,0.355,130,102,6,3,0,1,3,9D/H,,suzukse01
121,Andres Gimenez,27,TOR,AL,0.5,77,272,251,22,58,12,1,7,33,10,2,8,53,0.231,0.274,0.371,0.645,74,0.288,67,93,6,8,2,3,0,*6/H,,gimenan01
122,Troy Johnston,29,COL,NL,0.2,73,271,242,30,76,22,0,3,35,4,4,22,47,0.314,0.378,0.442,0.82,118,0.356,117,107,2,4,1,2,0,973D/H,,johnstr02
123,Willi Castro,29,COL,NL,1.2,69,270,241,36,68,13,0,6,33,6,4,25,68,0.282,0.356,0.411,0.766,104,0.342,105,99,3,3,0,1,0,4563/7H8,,castrwi01
124,Chase DeLauter,24,CLE,AL,0.6,66,270,240,24,63,12,1,7,34,2,1,28,36,0.263,0.337,0.408,0.745,109,0.331,108,98,6,0,0,2,0,9D/H,,delauch01
125,Ryan O'Hearn,32,PIT,NL,0.3,66,270,246,35,70,11,0,11,45,1,0,20,60,0.285,0.341,0.463,0.804,119,0.356,121,114,11,2,0,2,1,93D/H,,ohearry01
126,Isaac Collins,28,KCR,AL,-0.4,72,269,227,28,51,11,0,3,23,4,4,33,65,0.225,0.333,0.313,0.646,85,0.299,89,71,3,5,2,2,0,*7/H4D,,colliis01
127,J.P. Crawford,31,SEA,AL,0.7,64,268,224,33,50,5,0,10,24,1,3,38,50,0.223,0.347,0.379,0.726,109,0.324,111,85,3,5,0,1,0,6/5HD,,crawfjp01
128,Kody Clemens,30,MIN,AL,1.3,68,266,241,32,58,16,2,11,30,6,2,18,58,0.241,0.307,0.461,0.767,109,0.337,107,111,4,5,2,0,1,379/84H,,clemeko01
129,Elly De La Cruz,24,CIN,NL,2.2,60,266,239,41,66,13,2,12,37,10,5,24,78,0.276,0.346,0.498,0.844,128,0.371,132,119,2,2,0,1,0,*6/D,,delacel01
130,Brett Baty,26,NYM,NL,0,77,265,235,26,51,9,1,3,26,3,1,24,75,0.217,0.295,0.302,0.598,68,0.28,70,71,2,3,0,2,0,593/H4D6,,batybr01
131,Ezequiel Duran,27,TEX,AL,1.5,72,265,241,32,63,15,2,6,40,5,1,20,64,0.261,0.318,0.415,0.733,113,0.329,115,100,3,1,1,2,0,6475/9H38,,duranez01
132,Cedric Mullins,31,TBR,AL,-0.1,68,265,230,26,47,4,1,6,22,13,6,23,52,0.204,0.29,0.309,0.598,66,0.276,64,71,2,5,4,1,0,*8/H,,mullice01
133,Nasim Nunez,25,WSN,NL,1.6,76,265,229,31,55,4,3,0,27,31,3,28,60,0.24,0.324,0.284,0.608,74,0.31,76,65,1,1,6,1,0,*46/HD,,nunezna01
134,Nolan Schanuel,24,LAA,AL,1.1,64,265,237,28,62,13,0,6,30,0,1,21,40,0.262,0.332,0.392,0.724,104,0.332,111,93,8,5,0,2,0,*3/H,,schanno01
